input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Schauer	41270.0	nomen	natPhaenomen	[Regen, Regenfall]	0.4	0.13743	0.0	0.0	0.0	0.5509
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Schauer	16128.0	nomen	Gefuehl	[Entsetzen, Entsetzung]	0.4	0.13743	0.0	0.0	0.0	0.53424
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Schrei	29585.0	nomen	Kommunikation	[Äußerung] , [Ausdrucksmittel]	0.54286	0.20938	0.0	0.0	0.0	0.59696
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Qual	16212.0	nomen	Gefuehl	[Schmerz] , [Kummer, Leid, Leidwesen, Sorge, Unglück]	0.42857	0.15041	0.0	0.0	0.0	0.56726
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Qual	26576.0	nomen	Koerper	[Befindlichkeitsstörung, Beschwerden, Schmerz]	0.6	0.2443	0.22222	0.04639	0.10317	0.59675
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Ahnung	28015.0	nomen	Kognition	[Halbwissen]	0.54286	0.20938	0.0	0.0	0.0	0.59189
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Ahnung	16086.0	nomen	Gefuehl	[Emotion, Empfinden, Empfindung, Feeling, Gefühl, Gemütsbewegung]	0.45714	0.16402	0.0	0.0	0.0	0.59515
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Mitleid	16096.0	nomen	Gefuehl	[Mitempfindung, Mitgefühl]	0.42857	0.15041	0.0	0.0	0.0	0.55653
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Schlag	75865.0	nomen	Geschehen	[Unheil]	0.42857	0.15041	0.0	0.0	0.0	0.57607
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Schlag	41325.0	nomen	natPhaenomen	[Blitz]	0.42857	0.15041	0.0	0.0	0.0	0.57673
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Schlag	17932.0	nomen	Geschehen	[Spielzug]	0.42857	0.15041	0.0	0.0	0.0	0.61691
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Schlag	69572.0	nomen	Geschehen	[Unfall, Unfallgeschehen]	0.45714	0.16402	0.0	0.0	0.0	0.57675
Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	Schlag	37948.0	nomen	Mensch	[psychisch Beschaffener]	0.8	0.41972	0.66667	0.11674	0.33516	0.76843
